answer,value,Country Code
The UAE,0.9900067015,ARE
Qatar,0.9815612397,QAT
Kuwait,0.933470102,KWT
Djibouti,0.9112458123,DJI
Jordan,0.9014089974,JOR
Bahrain,0.8860298168,BHR
Oman,0.8753062877,OMN
Saudi Arabia,0.8733864596,SAU
Cote d-Ivoire,0.8498058674,CIV
Uganda,0.8363811288,UGA
Niger,0.8360776795,NER
Kenya,0.8327449874,KEN
Andorra,0.8264644609,AND
Gambia,0.8195105129,GMB
Tanzania,0.8187131908,TZA
Zambia,0.8164803552,ZMB
Yemen,0.8124965537,YEM
Sudan,0.8093806365,SDN
Somalia,0.8075186639,SOM
Brunei Darussalam,0.8068389115,BRN
Democratic Republic of Congo,0.8063373632,COD
Angola,0.8041477347,AGO
Iraq,0.8040522306,IRQ
Solomon Islands,0.8033662597,SLB
Mauritania,0.8004732833,MRT
Malawi,0.7999845232,MWI
Congo,0.7976480256,COG
Madagascar,0.7951610776,MDG
Chad,0.7923138509,TCD
Togo,0.7922120316,TGO
Senegal,0.7919264653,SEN
Equatorial Guinea,0.7909741381,GNQ
Maldives,0.7846976709,MDV
Ethiopia,0.7836856772,ETH
Cameroon,0.7791618131,CMR
Benin,0.7763470059,BEN
Honduras,0.7762902718,HND
Libya,0.7698460558,LBY
Zimbabwe,0.7679699687,ZWE
Pakistan,0.7675596013,PAK
Botswana,0.7668927146,BWA
Vanuatu,0.7644285175,VUT
Ghana,0.7641595651,GHA
Tajikistan,0.7610704399,TJK
Comoros,0.7597778283,COM
South Sudan,0.7583830237,SSD
Nigeria,0.7573100738,NGA
Liberia,0.7571833597,LBR
Namibia,0.7570105895,NAM
Rwanda,0.7538555879,RWA
Israel,0.7526623065,ISR
Syrian Arab Republic,0.7518502665,SYR
Papua New Guinea,0.7513074535,PNG
Belize,0.7491129678,BLZ
Gabon,0.7478596172,GAB
Guatemala,0.7460723732,GTM
Philippines,0.7457126544,PHL
Mozambique,0.7437103956,MOZ
Venezuela,0.7419285097,VEN
Burkina Faso,0.7410074088,BFA
Afghanistan,0.7404102408,AFG
Swaziland,0.7400234383,SWZ
Malaysia,0.7384475362,MYS
Burundi,0.7352646308,BDI
Uzbekistan,0.7315549073,UZB
Iran,0.7271100539,IRN
Algeria,0.7260288195,DZA
Costa Rica,0.7255579982,CRI
Marshall Islands,0.7237025591,MHL
Ecuador,0.7225797293,ECU
Bhutan,0.7201080519,BTN
Bahamas,0.7200433502,BHS
Panama,0.7191652006,PAN
Egypt,0.7178711973,EGY
Paraguay,0.7170575682,PRY
Turkmenistan,0.7168661294,TKM
New Caledonia,0.7158273381,NCL
Nicaragua,0.7114276785,NIC
Guinea,0.71140441,GIN
Mali,0.7074864863,MLI
Singapore,0.7063818609,SGP
Bangladesh,0.7042081279,BGD
Mexico,0.7006900942,MEX
Lebanon,0.6995129413,LBN
Dominican Republic,0.6906651657,DOM
Sierra Leone,0.6894198229,SLE
South Africa,0.688844211,ZAF
Eritrea,0.6876898735,ERI
Laos,0.6861815297,LAO
Mongolia,0.6843807785,MNG
