answer,value,Country Code
China,1378665000,CHN
India,1324171354,IND
United States,323127513,USA
Indonesia,261115456,IDN
Brazil,207652865,BRA
Pakistan,193203476,PAK
Nigeria,185989640,NGA
Bangladesh,162951560,BGD
Russia,144342396,RUS
Mexico,127540423,MEX
Japan,126994511,JPN
Philippines,103320222,PHL
Ethiopia,102403196,ETH
Egypt,95688681,EGY
Vietnam,92701100,VNM
Germany,82667685,DEU
Iran,80277428,IRN
Turkey,79512426,TUR
Democratic Republic of Congo,78736153,COD
Thailand,68863514,THA
France,66896109,FRA
United Kingdom,65637239,GBR
Italy,60600590,ITA
South Africa,55908865,ZAF
Tanzania,55572201,TZA
Myanmar,52885223,MMR
South Korea,51245707,KOR
Colombia,48653419,COL
Kenya,48461567,KEN
Spain,46443959,ESP
Ukraine,45004645,UKR
Argentina,43847430,ARG
Uganda,41487965,UGA
Algeria,40606052,DZA
Sudan,39578828,SDN
Poland,37948016,POL
Iraq,37202572,IRQ
Canada,36286425,CAN
Morocco,35276786,MAR
Afghanistan,34656032,AFG
Saudi Arabia,32275687,SAU
Uzbekistan,31848200,UZB
Peru,31773839,PER
Venezuela,31568179,VEN
Malaysia,31187265,MYS
Nepal,28982771,NPL
Mozambique,28829476,MOZ
Angola,28813463,AGO
Ghana,28206728,GHA
Yemen,27584213,YEM
North Korea,25368620,PRK
Madagascar,24894551,MDG
Australia,24127159,AUS
Cote d'Ivoire,23695919,CIV
Cameroon,23439189,CMR
Sri Lanka,21203000,LKA
Niger,20672987,NER
Romania,19705301,ROU
Burkina Faso,18646433,BFA
Syrian Arab Republic,18430453,SYR
Malawi,18091575,MWI
Mali,17994837,MLI
Chile,17909754,CHL
Kazakhstan,17797032,KAZ
Netherlands,17018408,NLD
Zambia,16591390,ZMB
Guatemala,16582469,GTM
Ecuador,16385068,ECU
Zimbabwe,16150362,ZWE
Cambodia,15762370,KHM
Senegal,15411614,SEN
Chad,14452543,TCD
Somalia,14317996,SOM
Guinea,12395924,GIN
South Sudan,12230730,SSD
Rwanda,11917508,RWA
Cuba,11475982,CUB
Tunisia,11403248,TUN
Belgium,11348159,BEL
Bolivia,10887882,BOL
Benin,10872298,BEN
Haiti,10847334,HTI
Greece,10746740,GRC
Dominican Republic,10648791,DOM
Czech Republic,10561633,CZE
Burundi,10524117,BDI
Portugal,10324611,PRT
Sweden,9903122,SWE
Hungary,9817958,HUN
Azerbaijan,9762274,AZE
Belarus,9507120,BLR
Jordan,9455802,JOR
United Arab Emirates,9269612,ARE
Honduras,9112867,HND
Austria,8747358,AUT
Tajikistan,8734951,TJK
Israel,8547100,ISR
Switzerland,8372098,CHE
Papua New Guinea,8084991,PNG
Togo,7606374,TGO
Sierra Leone,7396190,SLE
Bulgaria,7127822,BGR
Serbia,7057412,SRB
Laos,6758353,LAO
Paraguay,6725308,PRY
El Salvador,6344722,SLV
Libya,6293253,LBY
Nicaragua,6149928,NIC
Kyrgyz Republic,6082700,KGZ
Lebanon,6006668,LBN
Denmark,5731118,DNK
Turkmenistan,5662544,TKM
Singapore,5607283,SGP
Finland,5495096,FIN
Slovak Republic,5428704,SVK
Norway,5232929,NOR
Congo,5125821,COG
Costa Rica,4857274,CRI
Ireland,4773095,IRL
New Zealand,4692700,NZL
Liberia,4613823,LBR
Central African Republic,4594621,CAF
Eritrea,4474690,ERI
Oman,4424762,OMN
Mauritania,4301018,MRT
Croatia,4170600,HRV
Kuwait,4052584,KWT
Panama,4034119,PAN
Georgia,3719300,GEO
Moldova,3552000,MDA
Bosnia and Herzegovina,3516816,BIH
Uruguay,3444006,URY
Puerto Rico,3411307,PRI
Mongolia,3027398,MNG
Armenia,2924816,ARM
Jamaica,2881355,JAM
Albania,2876101,ALB
Lithuania,2872298,LTU
Qatar,2569804,QAT
Namibia,2479713,NAM
Botswana,2250260,BWA
Lesotho,2203821,LSO
Macedonia,2081206,MKD
Slovenia,2064845,SVN
Gambia,2038501,GMB
Gabon,1979786,GAB
Latvia,1960424,LVA
Kosovo,1816200,XKX
Guinea-Bissau,1815698,GNB
Bahrain,1425171,BHR
Trinidad and Tobago,1364962,TTO
Swaziland,1343098,SWZ
Estonia,1316481,EST
Timor-Leste,1268671,TLS
Mauritius,1263473,MUS
Equatorial Guinea,1221490,GNQ
Cyprus,1170125,CYP
Djibouti,942333,DJI
Fiji,898760,FJI
Bhutan,797765,BTN
Comoros,795601,COM
Guyana,773303,GUY
Montenegro,622781,MNE
Solomon Islands,599419,SLB
Luxembourg,582972,LUX
Suriname,558368,SUR
Cabo Verde,539560,CPV
Malta,436947,MLT
Brunei Darussalam,423196,BRN
Maldives,417492,MDV
Bahamas,391232,BHS
Belize,366954,BLZ
Iceland,334252,ISL
Barbados,284996,BRB
New Caledonia,278000,NCL
Vanuatu,270402,VUT
Sao Tome and Principe,199910,STP
Samoa,195125,WSM
St. Lucia,178015,LCA
Guam,162896,GUM
Curacao,159999,CUW
Kiribati,114395,KIR
St. Vincent and the Grenadines,109643,VCT
Grenada,107317,GRD
Tonga,107122,TON
Federated States of Micronesia,104937,FSM
Aruba,104822,ABW
Seychelles,94677,SYC
Andorra,77281,AND
Dominica,73543,DMA
Bermuda,65331,BMU
Greenland,56186,GRL
St. Kitts and Nevis,54821,KNA
Marshall Islands,53066,MHL
Faroe Islands,49117,FRO
Monaco,38499,MCO
Liechtenstein,37666,LIE
Gibraltar,34408,GIB
San Marino,33203,SMR
Palau,21503,PLW
Nauru,13049,NRU
Tuvalu,11097,TUV
Total,7404595888,
